Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m)
Vastre,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.67333333,13.84833333,10,54.9,2.42,0.119266,29,7.308,7.308,NaN
Viruppapur,CGWB,Karnataka,Gadag,Krishna Basin,Tungabhadra Upper,2019,75.83,15.14333333,64,310,14.592,2.53333,98,8.17,8.17,NaN
Watgal,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2019,76.75666667,16.10472222,60,213.5,167.532,0.57,507.8,8.22,8.22,NaN
Yaliyur,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.83055556,12.50833333,24,230,9.728,1.76,126,8.11,8.11,NaN
Yarandagi,CGWB,Karnataka,Bidar,Krishna Basin,Bhima Lower,2019,76.93305556,17.78722222,30,152,22.99,1,68,8.25,8.25,NaN
Yekkambi,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2019,74.93333333,14.68333333,30,67.1,6.05,0.44,10,7.88,7.88,NaN
Yellapur1,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,74.73333333,14.96666667,22,0.37,175,711,NaN,NaN,8.98,NaN
Agadalu,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.77666667,13.19194444,16,64,156,537,41,1.48,8.71,5.55
Ahmedpur,CGWB,Karnataka,Hassan,Krishna Basin,Tungabhadra Lower,2020,76.27638889,13.49222222,1.05,24.815,12,189.1,13.365,0.39,6.43,NaN
Ainapur1,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,77.225,17.60833333,16.2,85.2,20,146.4,41.344,0.75,8.534,3.8
Airodi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.71111111,13.45583333,6,18,14,48.8,2.42,0.458716,7.523,5.59
Alagur,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2020,75.34861111,16.57222222,48.4,1448.4,216,97.6,233.088,3.62,8.53,5.47
Alakod,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.49444444,14.31666667,2.8,28,12,129,7.26,0.44,8.05,4.84
Alur1,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.98333333,12.96666667,11,78,44,85,53,1.27,9.47,NaN
Alur2,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.62222222,16.88611111,2.2,56.8,40,274.5,49.856,2.17,7.835,NaN
